#lines that start with # are comments 
#values are seperated by commas (,)
#objective for scene
#GTO game type objective (0-Height/distance obj, 1-Land on gameobject name, 2-Pass checkpoints, 3-Grab object and get to designated end point)
GTO,0
#OBJ,Scene title, GET Height (+or-), Land start, Land End
OBJ,Hop skip and jump!,4,50,999
#CLD,Cloud Height
CLD,68
#WTH, Weather 0-99 higher number more clouds/rain
WTH,20
#WND, Wind level -4000 to 4000
WND,700
#RAD, RADIOSITy level 0 to 1
RAD,1
#RAB, Background Radiosit leve 0 to 1
RAB,1
#FPS, target fps for the scene
FPS,96
#GRX, gravity scale x
GRX,0
#GRY, gravity scale y
GRY,-9.81
# Prefab,LayerOrder,StartX,EndX,StartY,EndY
ground/gbrick,0,24.34,26.9,-2.07,0.49
ground/gbrick,0,29.26,31.82,-0.83,1.73
ground/gbrick,0,0.52,3.08,10.34,12.9
ground/gbrick,0,5.59,8.15,10.39,12.95
ground/gbrick,0,10.71,13.27,10.42,12.98
ground/gbrick,0,15.81,18.37,10.47,13.03
ground/gbrick,0,20.89,23.45,10.45,13.01
ground/gbrick,0,26.01,28.57,10.5,13.06
ground/gbrick,0,31.13,33.69,10.5,13.06
ground/gbrick,0,36.25,38.81,10.52,13.08
ground/gbrick,0,46.52,49.08,10.61,13.17
ground/gbrick,0,46.71,49.27,5.59,8.15
ground/gbrick,0,41.45,44.01,10.54,13.1
ground/bramp2,0,19.27,21.83,1.65,4.21
ground/bramp2,0,24.13,26.69,2.93,5.49
ground/bramp2,0,29,31.56,4.19,6.75
ground/bramp2,0,14.33,16.89,0.36,2.92
ground/gbrick,0,25.95,28.51,15.44,18
ground/gbrick,0,31.07,33.63,15.44,18
ground/gbrick,0,36.19,38.75,15.46,18.02
ground/gbrick,0,0.4599991,3.019999,15.28,17.84
ground/gbrick,0,5.529999,8.089998,15.33,17.89
ground/gbrick,0,10.65,13.21,15.36,17.92
ground/gbrick,0,15.75,18.31,15.41,17.97
ground/gbrick,0,20.83,23.39,15.39,17.95
ground/gbrick,0,46.46,49.02,15.55,18.11
ground/gbrick,0,41.39,43.95,15.48,18.04
ground/gbrick,0,26.02,28.58,20.5,23.06
ground/gbrick,0,31.14,33.7,20.5,23.06
ground/gbrick,0,36.26,38.82,20.52,23.08
ground/gbrick,0,0.5299988,3.089999,20.34,22.9
ground/gbrick,0,5.599998,8.159998,20.39,22.95
ground/gbrick,0,10.72,13.28,20.42,22.98
ground/gbrick,0,15.82,18.38,20.47,23.03
